DATE,ZNR,ZNAME,BEZIRK,BEZIRK_NAME,LONGITUDE,LATITUDE,DTVMS,DTVMS_fc_exog,DTVMS_fc_noex,DTVMS_fc_prophet,DTVMS_full_exog,DTVMS_full_noex,DTVMS_full_prophet,DTVMS_ensemble,ISTCOVID19,POP,AUSPENDLER,PKW_DENSITY,CAR,PUBLIC_TRANSPORT,BY_FOOT,BIKE
2026-08-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,21018.52093570924,22472.660666967888,25670.24982475849,21018.52093570924,22472.660666967888,25670.24982475849,23397.496056592536,0.0,114172.24,0.100746052670311,311.0803747887568,0.2451790714720492,0.3067082566169081,0.3554834514835276,0.0926292204275149
2026-09-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,23683.092273760005,25197.596849983354,28003.34331548112,23683.092273760005,25197.596849983354,28003.34331548112,26004.936879043325,0.0,114172.24,0.100746052670311,311.0803747887568,0.2451790714720492,0.3067082566169081,0.3554834514835276,0.0926292204275149
2026-10-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,24346.530924719293,25539.885636162388,27810.90260752301,24346.530924719293,25539.885636162388,27810.90260752301,26193.92716138737,0.0,114172.24,0.100746052670311,311.0803747887568,0.2451790714720492,0.3067082566169081,0.3554834514835276,0.0926292204275149
2026-11-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,23567.46581466764,24278.713739475206,25975.814637948508,23567.46581466764,24278.713739475206,25975.814637948508,24770.620740434213,0.0,114172.24,0.100746052670311,311.0803747887568,0.2451790714720492,0.3067082566169081,0.3554834514835276,0.0926292204275149
2026-12-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,20855.4148486848,21767.23615820542,23467.360861805453,20855.4148486848,21767.23615820542,23467.360861805453,22256.54152207828,0.0,114172.24,0.100746052670311,311.0803747887568,0.2451790714720492,0.3067082566169081,0.3554834514835276,0.0926292204275149
2027-01-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,19114.284266764764,20494.553292845565,23990.74771429584,19114.284266764764,20494.553292845565,23990.74771429584,21509.4128333217,0.0,115484.42,0.1007370522405255,310.4677486077753,0.2419066119226699,0.3078523496249193,0.3568033986776868,0.0934376397747237
2027-02-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,20190.362864901195,21802.33403010176,25109.526333919497,20190.362864901195,21802.33403010176,25109.526333919497,22756.98532226184,0.0,115484.42,0.1007370522405255,310.4677486077753,0.2419066119226699,0.3078523496249193,0.3568033986776868,0.0934376397747237
2027-03-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,21464.584137853584,23023.08440157596,26295.67775742993,21464.584137853584,23023.08440157596,26295.67775742993,23968.387218066087,0.0,115484.42,0.1007370522405255,310.4677486077753,0.2419066119226699,0.3078523496249193,0.3568033986776868,0.0934376397747237
2027-04-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,22490.525258759502,23523.730992837827,26676.6723669445,22490.525258759502,23523.730992837827,26676.6723669445,24442.644343008837,0.0,115484.42,0.1007370522405255,310.4677486077753,0.2419066119226699,0.3078523496249193,0.3568033986776868,0.0934376397747237
2027-05-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,22767.852731865714,24758.12915109475,28833.09493819053,22767.852731865714,24758.12915109475,28833.09493819053,25934.3340454251,0.0,115484.42,0.1007370522405255,310.4677486077753,0.2419066119226699,0.3078523496249193,0.3568033986776868,0.0934376397747237
2027-06-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,24203.742452517152,26257.455033566614,29627.43760238248,24203.742452517152,26257.455033566614,29627.43760238248,27223.056565376886,0.0,115484.42,0.1007370522405255,310.4677486077753,0.2419066119226699,0.3078523496249193,0.3568033986776868,0.0934376397747237
2027-07-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,21878.149702910567,24241.472969652965,27834.52520783982,21878.149702910567,24241.472969652965,27834.52520783982,25267.95998368584,0.0,115484.42,0.1007370522405255,310.4677486077753,0.2419066119226699,0.3078523496249193,0.3568033986776868,0.0934376397747237
2027-08-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,20476.49608927255,22834.672155825465,26563.792980190898,20476.49608927255,22834.672155825465,26563.792980190898,23901.683815060605,0.0,115484.42,0.1007370522405255,310.4677486077753,0.2419066119226699,0.3078523496249193,0.3568033986776868,0.0934376397747237
2027-09-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,23187.82541646436,25559.92105974204,29328.344201669708,23187.82541646436,25559.92105974204,29328.344201669708,26638.369081642137,0.0,115484.42,0.1007370522405255,310.4677486077753,0.2419066119226699,0.3078523496249193,0.3568033986776868,0.0934376397747237
2027-10-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,23765.098544940352,25900.23197387871,29163.57246666028,23765.098544940352,25900.23197387871,29163.57246666028,26832.722337947744,0.0,115484.42,0.1007370522405255,310.4677486077753,0.2419066119226699,0.3078523496249193,0.3568033986776868,0.0934376397747237
2027-11-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,22985.4334521594,24637.786261737987,27168.93512904925,22985.4334521594,24637.786261737987,27168.93512904925,25361.119906012584,0.0,115484.42,0.1007370522405255,310.4677486077753,0.2419066119226699,0.3078523496249193,0.3568033986776868,0.0934376397747237
