ZNR,DATE,forecast,lower_95,upper_95
1618,2029-09-01,19707.228844490455,9744.210282778526,29670.247406202383
1618,2029-10-01,20682.94905306815,10691.700695432624,30674.197410703677
1618,2029-11-01,20600.01038832814,10585.463294430967,30614.557482225315
1618,2029-12-01,19330.21956674478,9296.088729002478,29364.350404487086
1618,2030-01-01,19641.194289911975,9241.20883503343,30041.17974479052
1618,2030-02-01,20476.79059436699,9822.535231004524,31131.045957729457
1618,2030-03-01,20613.607158064027,9778.035642981991,31449.178673146063
1618,2030-04-01,20965.352470146318,9997.48393122409,31933.221009068548
1618,2030-05-01,20262.777844477765,9196.288613497198,31329.26707545833
1618,2030-06-01,20630.133034268045,9488.606150438898,31771.65991809719
