ZNR,DATE,DTVMS_fc_exog,DTVMS_fc_noex,DTVMS_fc_prophet
1131,2028-04-01,28067.072871826982,37449.84781406406,32295.091705798237
1131,2028-05-01,28990.13496101673,38014.835331625436,33491.969117653985
1131,2028-06-01,29936.78900787128,39090.347045043716,34694.57635669408
1131,2028-07-01,27895.67078147513,36668.44277193844,32006.614180914727
1131,2028-08-01,26945.32352858383,35509.69269868435,30853.52223249764
1131,2028-09-01,30148.175754774406,39765.964702643905,34745.15740074834
1131,2028-10-01,29749.714237770306,39115.04477885061,34574.93395373592
1131,2028-11-01,29424.43584954983,38766.037918760885,34005.314060503835
1131,2028-12-01,28746.017206765413,38386.014131540156,33185.25361517648
1131,2029-01-01,25458.01289330923,35661.508815554305,30487.145017793137
1131,2029-02-01,27192.58534781933,37509.2834928823,32630.611339974486
1131,2029-03-01,27607.890561961132,38570.96464716841,33233.073384231306
1131,2029-04-01,27027.993995735356,38785.54605760788,32384.05086792793
1131,2029-05-01,27952.01959621095,39350.46958567949,33603.546294240055
1131,2029-06-01,28898.53169840442,40426.079759253014,34750.42883605203
1131,2029-07-01,26857.543155921838,38004.090011825036,32067.771353494467
1131,2029-08-01,25907.2259208961,36845.393868788124,30954.46144923435
1131,2029-09-01,29109.68190076689,41101.630792924436,34825.9346162533
1131,2029-10-01,28711.284997393304,40450.73986545699,34651.75611505459
1131,2029-11-01,28386.21577415278,40101.72598079082,34095.51830437052
1131,2029-12-01,27707.59684773822,39721.7163031758,33258.991766597625
1131,2030-01-01,24370.113514341858,36997.17614194331,30569.012360540364
1131,2030-02-01,26104.72166622997,38844.979109137304,32714.32729164996
1131,2030-03-01,26519.979407147493,39906.64001265563,33278.30546158904
1131,2030-04-01,25939.923494014147,40121.23182298132,32468.47421489478
1131,2030-05-01,26864.097955619967,40686.14978327178,33708.85220105948
1131,2030-06-01,27810.588127564166,41761.76838372772,34799.14392458138
1131,2030-07-01,25769.619621062717,39339.77133644192,32124.394701800193
1131,2030-08-01,24819.307023754736,38181.07981139409,31051.32330606615
1131,2030-09-01,28021.70178412983,42437.31372404281,34900.17688078847
1131,2030-10-01,27623.31486347073,41786.425281549156,34722.6675446501
1131,2030-11-01,27298.277955923622,41437.41077313681,34179.84341993407
1131,2030-12-01,26619.62808597162,41057.40230804646,33326.94699163814
1170,2025-01-01,58501.96920740837,56679.34605366089,62922.914549687885
1170,2025-02-01,61685.29577080021,60518.592982736904,68368.34321042172
1170,2025-03-01,63666.765334229916,61961.66091209858,66698.26900069245
1170,2025-04-01,63506.70109889377,61406.79599629522,64200.09482963386
1170,2025-05-01,62601.61560518155,61429.50212551433,66481.12797317193
1170,2025-06-01,63910.97774019791,62577.019655726,69299.17224692157
1170,2025-07-01,58902.37566332938,57695.80213160138,65630.48640546307
1170,2025-08-01,56322.03428452974,55328.247975799895,63435.654271734595
1170,2025-09-01,62949.58455420798,61468.95747926236,68643.10154734645
1170,2025-10-01,63105.19742623158,62190.759649065934,69469.71318969181
1170,2025-11-01,64045.99329479737,62819.855884789096,68110.05944296395
1170,2025-12-01,60557.92348595569,59496.26198814146,65658.45943887268
1170,2026-01-01,56664.35335189756,57460.36371239721,66265.28535392386
1170,2026-02-01,59695.509572755545,61095.40668221253,70992.68922901397
1170,2026-03-01,61199.79113538284,62440.244857419486,70274.55767873903
1170,2026-04-01,61937.688595512416,62335.064808530966,68164.57846018982
1170,2026-05-01,61083.46671398869,62209.581409617604,70201.42596297208
1170,2026-06-01,62754.53828181792,63539.07912228129,72484.47967910515
1170,2026-07-01,58427.793096088804,58921.84227241993,68566.95347728577
1170,2026-08-01,56090.00294858031,56617.53362501979,66568.33781460501
1170,2026-09-01,62255.96665881714,62652.87035994904,72023.67806139184
1170,2026-10-01,62038.151788748335,63113.70523134622,73123.28555527618
1170,2026-11-01,62815.26231126068,63730.88680114046,72165.56635615627
1170,2026-12-01,59369.79538619984,60395.13846845333,68756.8308556258
1170,2027-01-01,55297.10201713303,58273.99207075306,69280.82501711659
1170,2027-02-01,58394.36314320564,61946.41086916493,73301.35424187087
1170,2027-03-01,60105.94178512739,63309.22821820115,73552.68817435025
1170,2027-04-01,60453.75224291021,63121.74151545243,71816.49404169623
1170,2027-05-01,59577.43450350361,63023.38152027057,73588.56313586191
1170,2027-06-01,61091.37448200211,64319.57106317548,75334.06251356646
1170,2027-07-01,56468.42121519707,59654.0173417031,71184.29708812278
1170,2027-08-01,54025.263452112675,57338.13275179148,69394.74298311777
1170,2027-09-01,60391.74675934948,63392.7560596592,75098.83328954675
1170,2027-10-01,60336.154074525926,63901.356258904685,76467.426018664
1170,2027-11-01,61184.37177932961,64520.718592065714,75893.47388038745
1170,2027-12-01,57720.397571263835,61187.194908312704,71521.97264882414
1170,2028-01-01,52810.43771140929,59081.651632224,71287.78172153002
1170,2028-02-01,55878.98195073055,62747.22946352078,74613.14246984401
1170,2028-03-01,57500.507869172376,64106.75605107982,75051.67945128118
1170,2028-04-01,58017.77752568154,63934.33408759052,72151.51405427116
1170,2028-05-01,57151.058533091564,63831.00964560055,74655.823957649
1170,2028-06-01,58733.258651154116,65133.29564449158,78005.48662589349
1170,2028-07-01,54238.98227892211,60476.58544949627,74601.76343969804
1170,2028-08-01,51841.59766797954,58162.81962577716,72223.85975705745
