Id,Name,Latitude,Longitude,Kategorie,Bezirk_Code
1486,Jägerstraße,48.2353131,16.3702485,Bus,920
1487,Wallensteinplatz,48.2301817,16.3709646,Straßenbahn,920
1488,Rauscherstraße,48.2307166,16.3753451,Straßenbahn,920
1489,Althanstraße,48.2287524,16.3597085,Straßenbahn,909
1490,Wallensteinplatz,48.2297015,16.3705837,Straßenbahn,920
1491,Jägerstraße,48.2353344,16.3702917,Bus,920
1492,Klosterneuburger Straße/Wallensteinstraße,48.2288834,16.3688029,Straßenbahn,920
1493,Brigittaplatz,48.2330262,16.3702506,Straßenbahn,920
1494,Rauscherstraße,48.2307261,16.3754049,Straßenbahn,920
1495,Althanstraße,48.2289698,16.3592489,Straßenbahn,909
1496,Wallensteinplatz,48.2300679,16.371365,Straßenbahn,920
1497,Nordwestbahnstraße,48.2281621,16.3806745,Straßenbahn,902
1498,Nordwestbahnstraße,48.2280419,16.3808493,Straßenbahn,902
1499,Klosterneuburger Straße/Wallensteinstraße,48.228464,16.3679969,Straßenbahn,920
1500,Neubaugasse/Westbahnstraße,48.2017462,16.3485901,Straßenbahn,907
1501,Siebensterngasse,48.2021999,16.3519702,Straßenbahn,907
1502,Stiftgasse,48.2024546,16.3548474,Bus,907
1503,Neubaugasse/Westbahnstraße,48.2021827,16.3493641,Straßenbahn,907
1504,Siebensterngasse,48.2022203,16.3515487,Straßenbahn,907
1505,Stiftgasse,48.202346,16.3542891,Bus,907
1506,Seegasse,48.2230698,16.3614093,Straßenbahn,909
1507,Bauernfeldplatz,48.2211426,16.3607117,Straßenbahn,909
1508,Seegasse,48.2228627,16.3613592,Straßenbahn,909
1509,Bauernfeldplatz,48.2206459,16.3608976,Straßenbahn,909
1510,Canisiusgasse,48.2279641,16.3549016,Straßenbahn,909
1511,Nußdorfer Straße/Alserbachstraße,48.2251265,16.3547042,Straßenbahn,909
1512,Canisiusgasse,48.2282441,16.3547794,Straßenbahn,909
1513,Nußdorfer Straße/Alserbachstraße,48.2256683,16.3551546,Straßenbahn,909
1514,Nußdorfer Straße,48.2313102,16.3543931,Bus,909
1515,Nußdorfer Straße,48.2324217,16.3537128,Straßenbahn,919
1516,Glatzgasse,48.2330131,16.3534036,Bus,919
1517,An den langen Lüssen,48.2529065,16.3419507,Bus,919
1518,Sieveringer Straße,48.2463198,16.3424671,Bus,919
1519,Paradisgasse,48.2489622,16.3418031,Bus,919
1520,Sieveringer Straße,48.2463948,16.3424903,Straßenbahn,919
1521,Paradisgasse,48.2488875,16.3418616,Straßenbahn,919
1522,An den langen Lüssen,48.252496,16.3418,Straßenbahn,919
1523,Silbergasse,48.2429086,16.3482521,Straßenbahn,919
1524,Silbergasse,48.2428393,16.3484068,Bus,919
1525,Gatterburggasse,48.2396877,16.349085,Bus,919
1526,Gatterburggasse,48.2389233,16.3493116,Straßenbahn,919
1527,Hardtgasse,48.236751,16.3490485,Straßenbahn,919
1528,Hardtgasse,48.2372721,16.3490331,Bus,919
1529,Glatzgasse,48.2337099,16.3529154,Straßenbahn,919
1530,Sickenberggasse,48.2578024,16.3669603,Straßenbahn,919
1531,Paulanergasse,48.1952255,16.3670153,Straßenbahn,904
1532,Mayerhofgasse,48.1926255,16.3669921,Bus,904
1533,Mayerhofgasse,48.1924188,16.3669151,Bus,904
1534,Paulanergasse,48.1956257,16.3670881,Bus,904
1535,Aspernstraße,48.2225902,16.4748284,U-Bahn,922
1536,Donaustadtbrücke,48.2118119,16.4401393,U-Bahn,922
