DATE,BICYCLE,BIKESHARING,BY_FOOT,CAR,CARSHARING,MOTORBIKE,PUBLIC_TRANSPORT
2027-02-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-03-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-04-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-05-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-06-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-07-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-08-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-09-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-10-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-11-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-12-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2028-01-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-02-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-03-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-04-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-05-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-06-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-07-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-08-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-09-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-10-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-11-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-12-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2029-01-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-02-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-03-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-04-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-05-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-06-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-07-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-08-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-09-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-10-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-11-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-12-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2030-01-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-02-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-03-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-04-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-05-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-06-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-07-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-08-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-09-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-10-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-11-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-12-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
