ZNR,DATE,DTVMS,ISTCOVID19,BEZIRK,AUSPENDLER,POP,PKW_DENSITY,BICYCLE,BIKESHARING,BY_FOOT,CAR,CARSHARING,MOTORBIKE,PUBLIC_TRANSPORT,DTVMS_fc_exog,DTVMS_fc_noex,DTVMS_fc_prophet,DTVMS_full_exog,DTVMS_full_noex,DTVMS_full_prophet
1075,2022-01-01,26978.0,1.0,1220.0,0.11,203823.0,419.83,0.09,0.0,0.35,0.25,0.0,0.01,0.3,,,,26978.0,26978.0,26978.0
1075,2022-02-01,30492.0,0.0,1220.0,0.11,203823.0,419.83,0.09,0.0,0.35,0.25,0.0,0.01,0.3,,,,30492.0,30492.0,30492.0
1075,2022-03-01,32277.0,0.0,1220.0,0.11,203823.0,419.83,0.09,0.0,0.35,0.25,0.0,0.01,0.3,,,,32277.0,32277.0,32277.0
1075,2022-04-01,32312.0,0.0,1220.0,0.11,203823.0,419.83,0.09,0.0,0.35,0.25,0.0,0.01,0.3,,,,32312.0,32312.0,32312.0
1075,2022-05-01,37394.0,0.0,1220.0,0.11,203823.0,419.83,0.09,0.0,0.35,0.25,0.0,0.01,0.3,,,,37394.0,37394.0,37394.0
1075,2022-06-01,38076.0,0.0,1220.0,0.11,203823.0,419.83,0.09,0.0,0.35,0.25,0.0,0.01,0.3,,,,38076.0,38076.0,38076.0
1075,2022-07-01,33096.0,0.0,1220.0,0.11,203823.0,419.83,0.09,0.0,0.35,0.25,0.0,0.01,0.3,,,,33096.0,33096.0,33096.0
1075,2022-08-01,30568.0,0.0,1220.0,0.11,203823.0,419.83,0.09,0.0,0.35,0.25,0.0,0.01,0.3,,,,30568.0,30568.0,30568.0
1075,2022-09-01,35003.0,0.0,1220.0,0.11,203823.0,419.83,0.09,0.0,0.35,0.25,0.0,0.01,0.3,,,,35003.0,35003.0,35003.0
1075,2022-10-01,33017.0,0.0,1220.0,0.11,203823.0,419.83,0.09,0.0,0.35,0.25,0.0,0.01,0.3,,,,33017.0,33017.0,33017.0
1075,2022-11-01,32556.0,0.0,1220.0,0.11,203823.0,419.83,0.09,0.0,0.35,0.25,0.0,0.01,0.3,,,,32556.0,32556.0,32556.0
1075,2022-12-01,29893.0,0.0,1220.0,0.11,203823.0,419.83,0.09,0.0,0.35,0.25,0.0,0.01,0.3,,,,29893.0,29893.0,29893.0
1075,2023-01-01,27459.0,0.0,1220.0,0.1111321116742192,212658.0,423.18,0.0919584567951499,0.0,0.3510290499490463,0.2486079923024546,0.0008144562379228,0.0053963130092236,0.3021937317062026,,,,27459.0,27459.0,27459.0
1075,2023-02-01,29695.0,0.0,1220.0,0.1111321116742192,212658.0,423.18,0.0919584567951499,0.0,0.3510290499490463,0.2486079923024546,0.0008144562379228,0.0053963130092236,0.3021937317062026,,,,29695.0,29695.0,29695.0
1075,2023-03-01,31977.0,0.0,1220.0,0.1111321116742192,212658.0,423.18,0.0919584567951499,0.0,0.3510290499490463,0.2486079923024546,0.0008144562379228,0.0053963130092236,0.3021937317062026,,,,31977.0,31977.0,31977.0
1075,2023-04-01,30877.0,0.0,1220.0,0.1111321116742192,212658.0,423.18,0.0919584567951499,0.0,0.3510290499490463,0.2486079923024546,0.0008144562379228,0.0053963130092236,0.3021937317062026,,,,30877.0,30877.0,30877.0
1075,2023-05-01,34387.0,0.0,1220.0,0.1111321116742192,212658.0,423.18,0.0919584567951499,0.0,0.3510290499490463,0.2486079923024546,0.0008144562379228,0.0053963130092236,0.3021937317062026,,,,34387.0,34387.0,34387.0
1075,2023-06-01,36371.0,0.0,1220.0,0.1111321116742192,212658.0,423.18,0.0919584567951499,0.0,0.3510290499490463,0.2486079923024546,0.0008144562379228,0.0053963130092236,0.3021937317062026,,,,36371.0,36371.0,36371.0
1075,2023-07-01,32093.0,0.0,1220.0,0.1111321116742192,212658.0,423.18,0.0919584567951499,0.0,0.3510290499490463,0.2486079923024546,0.0008144562379228,0.0053963130092236,0.3021937317062026,,,,32093.0,32093.0,32093.0
1075,2023-08-01,29664.0,0.0,1220.0,0.1111321116742192,212658.0,423.18,0.0919584567951499,0.0,0.3510290499490463,0.2486079923024546,0.0008144562379228,0.0053963130092236,0.3021937317062026,,,,29664.0,29664.0,29664.0
1075,2023-09-01,33268.0,0.0,1220.0,0.1111321116742192,212658.0,423.18,0.0919584567951499,0.0,0.3510290499490463,0.2486079923024546,0.0008144562379228,0.0053963130092236,0.3021937317062026,,,,33268.0,33268.0,33268.0
1075,2023-10-01,31434.0,0.0,1220.0,0.1111321116742192,212658.0,423.18,0.0919584567951499,0.0,0.3510290499490463,0.2486079923024546,0.0008144562379228,0.0053963130092236,0.3021937317062026,,,,31434.0,31434.0,31434.0
1075,2023-11-01,31052.0,0.0,1220.0,0.1111321116742192,212658.0,423.18,0.0919584567951499,0.0,0.3510290499490463,0.2486079923024546,0.0008144562379228,0.0053963130092236,0.3021937317062026,,,,31052.0,31052.0,31052.0
1075,2023-12-01,28664.0,0.0,1220.0,0.1111321116742192,212658.0,423.18,0.0919584567951499,0.0,0.3510290499490463,0.2486079923024546,0.0008144562379228,0.0053963130092236,0.3021937317062026,,,,28664.0,28664.0,28664.0
1075,2024-01-01,27526.0,0.0,1220.0,0.1115353647993081,218116.74,423.3420350304678,0.0917406773987998,0.0,0.3526755408593094,0.2460429976802569,0.0004778868359643,0.0049138097765132,0.3041490874491561,,,,27526.0,27526.0,27526.0
1075,2024-02-01,29855.0,0.0,1220.0,0.1115353647993081,218116.74,423.3420350304678,0.0917406773987998,0.0,0.3526755408593094,0.2460429976802569,0.0004778868359643,0.0049138097765132,0.3041490874491561,,,,29855.0,29855.0,29855.0
1075,2024-03-01,30857.0,0.0,1220.0,0.1115353647993081,218116.74,423.3420350304678,0.0917406773987998,0.0,0.3526755408593094,0.2460429976802569,0.0004778868359643,0.0049138097765132,0.3041490874491561,,,,30857.0,30857.0,30857.0
1075,2024-04-01,32108.0,0.0,1220.0,0.1115353647993081,218116.74,423.3420350304678,0.0917406773987998,0.0,0.3526755408593094,0.2460429976802569,0.0004778868359643,0.0049138097765132,0.3041490874491561,,,,32108.0,32108.0,32108.0
1075,2024-05-01,31198.0,0.0,1220.0,0.1115353647993081,218116.74,423.3420350304678,0.0917406773987998,0.0,0.3526755408593094,0.2460429976802569,0.0004778868359643,0.0049138097765132,0.3041490874491561,,,,31198.0,31198.0,31198.0
1075,2024-06-01,32651.0,0.0,1220.0,0.1115353647993081,218116.74,423.3420350304678,0.0917406773987998,0.0,0.3526755408593094,0.2460429976802569,0.0004778868359643,0.0049138097765132,0.3041490874491561,,,,32651.0,32651.0,32651.0
1075,2024-07-01,31805.0,0.0,1220.0,0.1115353647993081,218116.74,423.3420350304678,0.0917406773987998,0.0,0.3526755408593094,0.2460429976802569,0.0004778868359643,0.0049138097765132,0.3041490874491561,,,,31805.0,31805.0,31805.0
1075,2024-08-01,30771.0,0.0,1220.0,0.1115353647993081,218116.74,423.3420350304678,0.0917406773987998,0.0,0.3526755408593094,0.2460429976802569,0.0004778868359643,0.0049138097765132,0.3041490874491561,,,,30771.0,30771.0,30771.0
1075,2024-09-01,32787.0,0.0,1220.0,0.1115353647993081,218116.74,423.3420350304678,0.0917406773987998,0.0,0.3526755408593094,0.2460429976802569,0.0004778868359643,0.0049138097765132,0.3041490874491561,,,,32787.0,32787.0,32787.0
1075,2024-10-01,32925.0,0.0,1220.0,0.1115353647993081,218116.74,423.3420350304678,0.0917406773987998,0.0,0.3526755408593094,0.2460429976802569,0.0004778868359643,0.0049138097765132,0.3041490874491561,,,,32925.0,32925.0,32925.0
