ds,traffic_real,traffic_forecast_without_corona,delta,delta_percent,znr
2020-10-20,51047,37393,13654,36.51,1608
2020-10-21,51047,37382,13665,36.56,1608
2020-10-22,51047,37313,13734,36.81,1608
2020-10-23,52732,38038,14694,38.63,1608
2020-10-24,42918,27806,15112,54.35,1608
2020-10-25,36531,24752,11779,47.59,1608
2020-10-26,49770,36305,13465,37.09,1608
2020-10-27,51047,37465,13582,36.25,1608
2020-10-28,51047,37534,13513,36.0,1608
2020-10-29,51047,37558,13489,35.92,1608
2020-10-30,52732,38386,14346,37.37,1608
2020-10-31,42918,28263,14655,51.85,1608
2020-11-01,29741,25319,4422,17.47,1608
2020-11-02,45625,36981,8644,23.37,1608
2020-11-03,43682,38244,5438,14.22,1608
2020-11-04,43682,38407,5275,13.73,1608
2020-11-05,43682,38514,5168,13.42,1608
2020-11-06,44075,39409,4666,11.84,1608
2020-11-07,33206,29335,3871,13.2,1608
2020-11-08,29741,26421,3320,12.57,1608
2020-11-09,45625,38091,7534,19.78,1608
2020-11-10,43682,39341,4341,11.03,1608
2020-11-11,43682,39469,4213,10.67,1608
2020-11-12,43682,39519,4163,10.53,1608
2020-11-13,44075,40337,3738,9.27,1608
2020-11-14,33206,30167,3039,10.07,1608
2020-11-15,29741,27141,2600,9.58,1608
2020-11-16,45625,38685,6940,17.94,1608
2020-11-17,43682,39798,3884,9.76,1608
2020-11-18,43682,39782,3900,9.8,1608
2020-11-19,43682,39684,3998,10.07,1608
2020-11-20,44075,40354,3721,9.22,1608
2020-11-21,33206,30040,3166,10.54,1608
2020-11-22,29741,26877,2864,10.66,1608
2020-11-23,45625,38295,7330,19.14,1608
2020-11-24,43682,39295,4387,11.16,1608
2020-11-25,43682,39184,4498,11.48,1608
2020-11-26,43682,39008,4674,11.98,1608
2020-11-27,44075,39620,4455,11.24,1608
2020-11-28,33206,29270,3936,13.45,1608
2020-11-29,29741,26092,3649,13.99,1608
2020-11-30,45625,37516,8109,21.61,1608
2020-12-01,43367,38544,4823,12.51,1608
2020-12-02,43367,38478,4889,12.71,1608
2020-12-03,43367,38365,5002,13.04,1608
2020-12-04,48010,39056,8954,22.93,1608
2020-12-05,36370,28795,7575,26.31,1608
2020-12-06,28266,25715,2551,9.92,1608
2020-12-07,42704,37242,5462,14.67,1608
2020-12-08,43367,38374,4993,13.01,1608
2020-12-09,43367,38410,4957,12.91,1608
2020-12-10,43367,38394,4973,12.95,1608
2020-12-11,48010,39172,8838,22.56,1608
2020-12-12,36370,28986,7384,25.47,1608
2020-12-13,28266,25966,2300,8.86,1608
2020-12-14,42704,37537,5167,13.77,1608
2020-12-15,43367,38692,4675,12.08,1608
2020-12-16,43367,38732,4635,11.97,1608
2020-12-17,43367,38699,4668,12.06,1608
2020-12-18,48010,39438,8572,21.74,1608
2020-12-19,36370,29194,7176,24.58,1608
2020-12-20,28266,26096,2170,8.32,1608
2020-12-21,42704,37572,5132,13.66,1608
2020-12-22,43367,38617,4750,12.3,1608
2020-12-23,43367,38535,4832,12.54,1608
2020-12-24,43367,38371,4996,13.02,1608
2020-12-25,48010,38973,9037,23.19,1608
2020-12-26,36370,28590,7780,27.21,1608
2020-12-27,28266,25356,2910,11.48,1608
2020-12-28,42704,36699,6005,16.36,1608
2020-12-29,43367,37622,5745,15.27,1608
2020-12-30,43367,37429,5938,15.86,1608
2020-12-31,43367,37169,6198,16.68,1608
2021-01-01,41738,37693,4045,10.73,1608
2021-01-02,29950,27252,2698,9.9,1608
2021-01-03,25521,23980,1541,6.43,1608
2021-01-04,40271,35309,4962,14.05,1608
2021-01-05,41787,36240,5547,15.31,1608
2021-01-06,41787,36079,5708,15.82,1608
2021-01-07,41787,35872,5915,16.49,1608
2021-01-08,41738,36470,5268,14.44,1608
2021-01-09,29950,26121,3829,14.66,1608
2021-01-10,25521,22958,2563,11.16,1608
2021-01-11,40271,34410,5861,17.03,1608
2021-01-12,41787,35474,6313,17.8,1608
2021-01-13,41787,35452,6335,17.87,1608
